state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)A       1.790      -  0.591  0.027  0.351  0.519  0.057  0.454
2(1)A       2.389      -  0.505  0.006  0.402  0.544  0.093  0.450
3(1)A       2.646      -  0.309  0.026  0.416  0.533  0.275  0.441
4(1)A       2.992      -  0.235  0.014  0.714  0.772  0.052  0.215
5(1)A       3.071      -  0.321  0.028  0.604  0.737  0.075  0.235
6(1)A       3.176      -  0.311  0.007  0.402  0.548  0.288  0.445
7(1)A       3.232      -  0.007  0.022  0.930  0.718  0.063  0.260
8(1)A       3.323      -  0.382  0.072  0.430  0.713  0.187  0.215
9(1)A       3.486      -  0.288  0.052  0.537  0.607  0.175  0.340
10(1)A      3.520      -  0.093  0.034  0.873  0.603  0.034  0.363
