state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)A       1.818      -  0.688  0.035  0.267  0.529  0.045  0.436
2(1)A       2.442      -  0.473  0.022  0.366  0.549  0.161  0.430
3(1)A       2.536      -  0.468  0.017  0.406  0.490  0.126  0.492
4(1)A       2.977      -  0.081  0.023  0.808  0.581  0.111  0.396
5(1)A       3.055      -  0.393  0.032  0.394  0.628  0.212  0.340
6(1)A       3.114      -  0.535  0.089  0.390  0.777  0.075  0.134
7(1)A       3.203      -  0.399  0.118  0.400  0.685  0.201  0.197
8(1)A       3.222      -  0.005  0.021  0.937  0.725  0.058  0.254
9(1)A       3.376      -  0.482  0.131  0.369  0.583  0.149  0.286
10(1)A      3.538      -  0.071  0.035  0.924  0.605  0.005  0.360
